xi,delta1,alpha2,alpha3,kappa,B0,alpha1,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s
9.190000598302646,0.4499489479395058,-4.1172976595882345,0.37611364668487407,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.792e+00 predicts growth factor 1.72e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.792e+00 predicts growth factor 1.72e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
1.0529937995081875,0.4440031861951558,-4.589821180067811,4.162251868576011,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -9.776 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -9.776 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
8.386056098982806,-0.10688002363113053,-3.702129741268,0.13549994584560435,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.737e+00 predicts growth factor 1.30e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.737e+00 predicts growth factor 1.30e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
5.6957885884648745,-0.29356261736151423,-0.6589186042135946,4.056544666654606,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.076 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.076 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
8.676913577730554,0.40937179416537073,-1.5374542059237348,1.1722364613289884,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.04899 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.04899 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is ,-1,,,,
3.2360076591819413,0.009074966532017892,-4.008813847898106,4.557224011345095,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -4.272 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -4.272 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
9.004132881597979,-0.3419304966519632,-1.4871093949066405,0.2906953702565972,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.05839 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.05839 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is ,-1,,,,
8.090116747809683,-0.40912581912454216,-4.412881442976353,4.707016541714457,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.72 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.72 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is pos,-1,,,,
4.066745677458151,0.34927142189564275,-2.9623274983340164,1.2376386357086928,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.692e+00 predicts growth factor 1.04e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.692e+00 predicts growth factor 1.04e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
2.788893165508509,-0.44724165404090593,-3.727752115551035,1.9443894964665072,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.711e+00 predicts growth factor 1.14e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.711e+00 predicts growth factor 1.14e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
5.484687531495784,-0.06394234820742944,-1.662744547962299,2.093328796531633,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.6809 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.6809 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is p,-1,,,,
7.362449470600779,-0.15659775015828725,-3.108763846852296,3.756587525283244,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.47 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.47 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is pos,-1,,,,
