sample_index,alpha1,alpha2,alpha3,delta1,v1_max_excess,v2_max_excess,v1_verdict,v2_verdict,sim_verdict
124,-0.514532852328985,1.91335518687739,0.0849724231298173,-1.47795589250804,2.036784e-01,0.000000e+00,stable,stable,not_audited
125,0.625220214083656,-1.33207896688334,0.586092330993994,0.766052783985843,2.035975e-01,0.000000e+00,stable,stable,not_audited
126,0.456023082957582,-0.804580525676417,1.08356764967201,1.24310806750514,2.036789e-01,0.000000e+00,stable,stable,not_audited
127,-0.297391213606231,1.68700543483507,0.756924540467871,-1.53918180094587,2.036791e-01,0.000000e+00,stable,stable,not_audited
128,0.74427749787624,0.107172304349782,1.28214769170728,1.67135219465239,2.036794e-01,0.000000e+00,stable,stable,not_audited
129,0.935827149332175,1.71496012982521,0.0625188357101842,1.36822399045295,2.035973e-01,0.000000e+00,stable,stable,not_audited
130,-0.657316390830974,1.26740542320974,0.742867260646837,1.20031407662979,2.036813e-01,0.000000e+00,stable,stable,not_audited
131,0.539282863419055,1.80904508185052,0.801626719553639,-1.98250286770647,2.036815e-01,0.000000e+00,stable,stable,not_audited
132,-0.605212048833736,0.514019633499746,0.287293614034231,0.946755319123245,2.036821e-01,0.000000e+00,stable,stable,not_audited
133,-0.192228723941112,-0.527938169834554,0.946161434123165,-0.845048851254004,2.036824e-01,0.000000e+00,stable,stable,not_audited
134,-0.388775832041143,0.589400585786923,0.0723058742725997,-1.15402439613458,2.036824e-01,0.000000e+00,stable,stable,not_audited
135,0.484478538940041,1.88026240552882,0.388735879520855,1.98582830223971,2.036832e-01,0.000000e+00,stable,stable,not_audited
136,-0.627219030779609,1.18193850781059,0.231619079823567,0.761980614982704,2.035965e-01,0.000000e+00,stable,stable,not_audited
137,-0.708559115988913,1.89149221162164,0.130828583605324,-1.38948729639241,2.036850e-01,0.000000e+00,stable,stable,not_audited
138,0.610291753371615,-1.4019911015263,0.152144719581326,1.18173343243419,2.036887e-01,0.000000e+00,stable,stable,not_audited
139,-0.0726585132889346,-0.194449310436938,0.148452132240892,-0.691522611668067,2.035953e-01,0.000000e+00,stable,stable,not_audited
140,-0.675126504332644,0.889806612224108,0.436271992470381,1.09381878887051,2.036951e-01,0.000000e+00,stable,stable,not_audited
141,0.400068778585301,-1.69644278108929,0.674922117132922,-0.535357468364435,2.035947e-01,0.000000e+00,stable,stable,not_audited
142,-0.151482747809979,-0.727882027565491,0.312345878589315,-0.817273983484271,2.036952e-01,0.000000e+00,stable,stable,not_audited
143,0.699657992263877,1.01542364603204,0.56882360152473,-1.97254115982698,2.036962e-01,0.000000e+00,stable,stable,not_audited
144,-0.0347095895327252,-0.0985331974808732,0.227935631872042,1.21619146008802,2.036963e-01,0.000000e+00,stable,stable,not_audited
145,0.597241477931626,-1.62815054896884,0.0975273708527273,-1.11080559548851,2.036967e-01,0.000000e+00,stable,stable,not_audited
146,0.483845871932289,-0.4080185949251,0.0786285487533284,1.48180785586762,2.036989e-01,0.000000e+00,stable,stable,not_audited
147,0.133010829010008,1.86924582388526,0.20857795300512,-1.92348222131654,2.036992e-01,0.000000e+00,stable,stable,not_audited
148,0.0393877271694147,1.84595801457429,0.0719021895317526,1.87810693471436,2.037005e-01,0.000000e+00,stable,stable,not_audited
149,0.603495961193531,0.589467074770802,0.318606627415451,1.84697647532121,2.037008e-01,0.000000e+00,stable,stable,not_audited
150,0.247459185325552,0.152287136271781,0.0541346631528237,1.51927444298673,2.037010e-01,0.000000e+00,stable,stable,not_audited
151,0.673816054255868,0.838092836196478,1.1041788585079,-1.9471684393982,2.037011e-01,0.000000e+00,stable,stable,not_audited
152,-0.433665716956178,1.36054498220156,1.07396284389825,1.47137063325685,2.037014e-01,0.000000e+00,stable,stable,not_audited
153,-0.841614932072009,1.55621264422222,1.06692977172074,1.25550561990494,2.037024e-01,0.000000e+00,stable,stable,not_audited
154,0.958717469354615,-0.270536549852981,0.230593068941672,-1.8213088050537,2.037033e-01,0.000000e+00,stable,stable,not_audited
155,-0.68157216111833,0.872985910719163,0.984707885455498,0.643747004083583,2.035936e-01,0.000000e+00,stable,stable,not_audited
156,0.449983349651368,0.415918477509664,1.81728773939693,1.7357256512794,2.037043e-01,0.000000e+00,stable,stable,not_audited
157,0.27651870926101,1.0190918765137,0.679373429143119,-1.80929514755965,2.037048e-01,0.000000e+00,stable,stable,not_audited
158,0.918022489936328,-1.04958068711161,1.40457822793152,1.58153243905562,2.037049e-01,0.000000e+00,stable,stable,not_audited
159,-0.409573448153327,-0.135525943693706,0.297993432186604,0.890062569978936,2.037066e-01,0.000000e+00,stable,stable,not_audited
160,0.00415981623976491,-0.00732174637837191,0.199920285311282,-1.32314147170029,2.037072e-01,0.000000e+00,stable,stable,not_audited
161,0.931972823599604,-1.61821719814634,0.129533936941868,-1.41819079421003,2.037086e-01,0.000000e+00,stable,stable,not_audited
162,-0.964475211212595,1.88765668610614,0.0881098156681044,-0.74455914147549,2.035928e-01,0.000000e+00,stable,stable,not_audited
163,-0.870307767286972,1.84769090034706,0.138565975032541,-1.38498542444956,2.037128e-01,0.000000e+00,stable,stable,not_audited
