sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
1022,-1.38078,-0.962335,-0.731318,0.0240473,-0.0125675,-0.00584982,-0.0332583,-0.0128081,0.0270669,0,inf,0
1023,-0.830117,-2.30762,-0.769137,3.88988,0.0151316,0.00299714,-0.0338851,0.0143725,-0.00481249,1,0.452514,0
1024,-0.428578,-2.54101,-0.90253,0.222123,0.016784,0.00420183,-0.0443988,-0.00308387,0.0197085,1,3.42188,0
1025,-0.603587,-0.941902,0.297003,1.0549,-0.0123233,0.00183084,0.0300866,-0.014109,0.00596956,1,0.276465,1
1026,-0.092333,-2.00839,-0.5909,2.17801,-0.0229611,-0.00286143,0.0227206,-0.0152026,0.0232515,1,0.157312,1
1027,0.681679,-2.54964,0.104474,0.145412,0.00109469,-0.00219935,0.038504,0.00110177,0.0250975,1,0.101008,1
1028,0.98638,-2.16972,-0.288666,0.143683,-0.00765657,0.00152239,-0.0396726,0.00710659,0.0192613,1,0.294546,1
1029,-1.2581,-2.60454,-0.593847,0.0100183,0.0235083,0.00318503,0.0347347,0.00687869,-0.0101137,1,inf,0
1030,0.705861,-1.43502,0.429485,0.76544,0.000179165,-0.00868352,-0.00488284,0.00160917,0.0160024,1,0.100922,1
1031,-0.138326,-2.89278,-0.699523,0.0432892,0.0200713,-0.00605254,0.0148177,0.0130095,-0.00950943,1,7.72141,0
1032,-0.175263,-2.03489,0.789743,0.160174,0.0245695,-0.00129852,-0.0424215,-0.00169134,0.00249936,1,2.44336,0
1033,0.570946,-1.98066,0.446391,4.98545,-0.0095749,0.00734707,0.00297266,-0.00638572,0.0374026,1,0.100999,1
1034,-0.217791,-0.872012,0.348746,0.111654,0.00429932,0.00669167,0.0403506,0.0129445,-0.0108715,1,0.100816,1
1035,-1.46611,-2.20237,-0.12625,0.96178,-0.00975003,0.00792117,0.00917698,0.00217241,-0.0427783,1,2.14961,0
1036,0.577092,-0.797553,0.317928,0.0206256,-0.00123904,0.00892795,0.0349868,-0.0188764,0.0242521,0,inf,0
1037,-0.607587,-2.55591,-0.661095,0.293729,0.0129707,-0.00703536,-0.00179858,0.00120111,-0.0443715,1,3.3172,0
1038,0.181344,-2.78263,0.172829,2.32077,0.00327962,0.00788431,-0.0262662,0.0160486,0.0332509,1,0.670792,0
1039,0.752884,-2.54691,-0.0670194,1.76636,0.00217534,0.00887627,-0.0253393,0.00372635,0.0157736,1,0.101039,1
1040,-0.162391,-2.60153,-0.20453,1.01887,-0.00455108,-0.00370145,0.0209123,-0.009664,0.00681853,1,0.933512,0
1041,0.550421,-1.96793,-0.516819,3.785,0.022727,-0.00376712,0.00388145,0.0110789,-0.0148121,1,0.100999,1
1042,-1.48369,-0.434851,-0.0789627,9.92034,0.00329298,-0.00319834,-0.00522087,0.00603737,-0.00434258,0,inf,0
1043,0.2344,-1.74366,0.106461,0.091024,0.01949,0.00422596,-0.0418177,-0.00535761,-0.0278581,1,0.490495,0
1044,-1.21793,-0.620239,0.677381,0.804625,-0.0119391,-0.00856954,0.040693,0.0149877,-0.0490057,0,inf,0
1045,-0.679422,-0.887521,-0.231279,0.764209,0.00140883,0.00656771,-0.00234826,-0.0082497,-0.0371967,0,inf,0
1046,0.207137,-1.78963,0.685587,0.545732,0.0212285,0.00254354,0.00144962,-0.00919566,0.0314306,1,0.100995,1
1047,0.216251,-2.89192,-0.796019,0.49592,-0.00036508,-0.00650716,-0.00733707,0.00221586,-0.0459831,1,1.2629,0
1048,0.62404,-1.67801,0.882546,0.34607,-0.0232703,-0.00624141,-0.0267397,0.000247741,-0.0468268,1,0.100765,1
1049,-1.12781,-2.86716,0.839922,1.07608,-0.011854,0.0045783,-0.0352986,0.0113506,0.00877325,1,2.04751,0
1050,0.947704,-0.634827,0.645172,0.286374,-0.0247939,0.00129628,0.0364488,0.00334132,-0.026004,0,inf,0
1051,-0.799143,-1.31086,-0.44881,0.682746,0.0238985,-0.00449203,-0.0107418,-0.00127508,0.020095,1,1.38282,0
1052,-0.696988,-2.61589,0.298488,0.0199279,0.000767806,0.00213223,0.0272125,-0.0172621,-0.0459237,1,14.7195,0
1053,0.394321,-1.49379,-0.580827,0.597699,-0.00987564,0.00346824,0.0188007,-0.0036008,0.0205801,1,0.101009,1
1054,-1.03436,-2.09902,-0.522327,0.0205656,-0.0217835,0.0085964,-0.0187944,-0.0162727,-0.0458548,1,14.9402,0
1055,-1.35141,-2.92091,-0.773993,0.011006,0.00617527,-0.00381664,0.025059,0.0149981,0.041824,1,inf,0
1056,-0.529904,-1.9794,-0.607213,0.0283651,0.00618414,0.00197582,0.0258509,-0.00922355,0.0199929,1,9.15315,0
1057,-0.865429,-2.561,-0.664953,1.75242,-0.00465243,0.000302518,-0.0168694,0.00949042,0.026461,1,1.22675,0
1058,-0.857176,-0.638355,-0.0297163,0.0132153,-0.0150375,0.00411977,-0.0284271,0.00245558,0.0203906,0,inf,0
1059,0.388578,-2.85677,-0.962299,3.49901,0.0117143,0.00255903,0.0265349,-0.00221987,-0.0447569,1,inf,0
1060,0.499649,-0.699012,0.720401,0.320956,0.00223926,0.0074269,-0.0156648,-0.019521,-0.038251,0,inf,0
1061,0.123042,-2.80286,0.977589,0.205263,-0.00419927,0.00823682,0.0330014,-0.0158348,0.0407743,1,2.37066,0
1062,0.450025,-1.35305,0.276262,0.530568,-0.0174206,0.00581075,0.0305559,0.00261946,-0.00855978,1,0.101011,1
1063,-1.11251,-2.57733,0.828887,0.16563,-0.0171104,0.00057072,0.018361,0.0124883,-0.00901906,1,5.68683,0
1064,0.592606,-2.46168,-0.974558,4.71928,0.00460214,-0.00161086,-0.0183341,-0.0039375,-0.0370894,1,0.100988,1
1065,-0.151787,-2.30211,-0.928901,0.0622444,0.0151644,-0.00690197,-0.00952802,0.013277,0.0133793,1,4.82571,0
1066,-0.855451,-1.89577,0.848726,0.0879889,-0.00830013,0.00361278,0.000707631,0.0162918,-0.0443907,1,6.03454,0
1067,0.756272,-2.46441,-0.482129,0.424608,0.00893005,-0.00236305,-0.04466,-0.0159714,-0.0401768,1,0.100986,1
1068,0.0870018,-1.43165,0.240241,0.264517,-0.0214302,-0.0066365,-0.0157474,0.0135763,-0.0371668,1,0.100998,1
1069,0.890467,-2.87118,0.15723,1.22335,-0.0178662,-0.00129025,-0.0393368,-0.0162712,0.020829,1,0.101007,1
1070,-0.055256,-1.24037,0.0170848,3.86343,-0.0231932,0.000798778,-0.00965614,0.0167789,0.0293702,1,0.100984,1
1071,-0.0880311,-2.82575,-0.515179,0.0715621,0.0212049,-0.00236696,0.00812781,-0.0066052,0.0456128,1,5.50387,0
1072,0.342011,-0.639146,-0.751045,0.0718832,0.0137529,-0.00773894,-0.0356574,0.011189,0.0397677,0,inf,0
1073,0.0274636,-1.95998,-0.220114,0.54764,-0.00689725,0.000892015,-0.030641,-0.0188144,0.00612749,1,0.296195,1
1074,-1.23352,-0.723463,-0.447268,0.134515,0.00600728,-0.00182824,0.00952482,-0.0161344,-0.00328047,0,inf,0
1075,-1.0177,-2.91256,0.516525,2.39556,0.0241037,-0.0011767,0.00718284,-0.0177613,-0.0200378,1,1.17357,0
1076,0.875042,-1.78906,0.818986,0.320107,0.0205444,-0.00595764,-0.0141239,0.0126802,0.0177376,1,0.100767,1
1077,-1.31924,-1.79493,0.743508,0.0152076,-0.00703072,-0.00610086,0.0412362,-0.0177867,0.0441916,1,inf,0
1078,-1.19104,-1.94241,0.355989,8.39998,-0.0130224,-0.00809526,-0.00370252,0.000783994,0.0354544,1,0.252398,1
1079,0.54057,-1.66394,-0.0765998,0.745093,-0.00569252,-0.00619141,-0.0496558,0.00550631,0.00321376,1,0.101041,1
1080,-0.110719,-1.68418,0.00448094,0.232003,0.0178276,-0.00208867,0.0132796,0.0189287,0.00183327,1,0.659551,0
1081,-0.302858,-1.76874,0.40117,1.30506,0.0101542,0.00725325,0.0348495,0.0013769,0.0334751,1,0.465706,0
1082,0.0292722,-0.374946,0.326704,0.574518,-0.0196046,-0.0027964,0.0229004,0.0126312,-0.0411824,0,inf,0
1083,0.205021,-0.567675,0.104589,1.24781,-0.0129843,0.000663076,-0.0244629,0.015963,0.0165174,0,inf,0
1084,0.682656,-2.05997,-0.360065,0.0928209,-0.00999038,-0.00597449,0.0328875,-0.00816535,0.00295129,1,0.100814,1
1085,-0.160546,-2.67863,0.486591,0.887521,0.0192959,0.000415728,0.0361954,0.0165648,-0.0367046,1,1.22272,0
1086,0.980849,-2.66716,0.316283,1.21242,-0.0101278,0.00714029,-0.0236538,0.00846344,0.0331488,1,0.10099,1
1087,-0.902374,-0.453208,-0.921875,6.79159,-0.00892182,0.00114936,-0.0279084,-0.0138997,0.012286,0,inf,0
1088,-1.20106,-2.51511,0.454847,7.44846,0.00867062,0.00455319,-0.025608,0.00534514,0.0183271,1,0.308715,0
1089,-1.01742,-0.892336,0.855619,0.0492862,0.0170582,0.00385385,-0.034832,0.0192772,0.027746,0,inf,0
1090,-0.84753,-1.26028,0.784163,0.896266,0.00419815,-0.0064062,0.00672216,0.00686361,0.0246449,1,1.16767,0
1091,-0.113064,-2.29436,-0.0517901,0.951289,0.0188315,0.00352365,-0.00530552,-0.0172772,0.0257676,1,0.823162,0
1092,0.717996,-0.630753,-0.857384,0.447329,-0.00529555,-0.00469614,0.00907092,0.00527467,-0.0345829,0,inf,0
1093,-1.49548,-1.04383,0.934075,0.1185,0.0170246,0.00123135,0.0150398,0.0035434,-0.025982,0,inf,0
1094,-1.42764,-1.01429,0.56307,5.25358,-0.0238117,0.00163878,0.0110387,-0.00241901,-0.0256429,0,inf,0
1095,-0.689856,-2.26587,-0.0871984,3.50444,-0.0125519,0.00100883,-0.0241879,0.0208729,0.0413658,1,0.571912,0
1096,-0.123155,-0.57548,0.815052,0.0237209,-0.0109175,0.00563165,-0.00655957,-0.0195191,-0.0452586,1,2.10352,0
1097,0.976108,-2.29062,-0.691273,0.114267,0.0222679,-0.00417697,0.0203668,0.0143176,0.0284763,1,0.100926,1
1098,-1.43179,-0.345222,-0.524417,1.70811,-0.0213536,0.00709913,0.0459256,-0.0169011,-0.00800374,0,inf,0
1099,-1.47862,-0.99205,-0.0111763,0.327891,0.00368875,0.00168747,-0.0300609,0.0208031,-0.0135728,0,inf,0
1100,0.221058,-0.898224,0.96493,0.203081,-0.0104239,0.00360468,0.0313267,0.00615456,0.029015,1,0.207666,1
1101,-0.829551,-1.54882,-0.530391,0.090769,-0.00729408,0.00170191,-0.000735597,0.0147663,0.0375727,1,5.31331,0
1102,-1.10275,-1.61033,0.82875,0.0486856,-0.006771,0.00874066,0.0193105,0.00257717,-0.0480474,1,8.8265,0
1103,-0.645506,-1.84319,-0.858111,0.0220878,-0.021337,-0.00836904,0.00992854,-0.0190304,0.0171095,1,10.8142,0
1104,0.22382,-1.52482,-0.179857,0.0993833,-0.0216053,0.00119591,0.00508159,0.00530779,0.0487963,1,1.08621,0
1105,-0.636272,-0.391938,-0.464599,0.200543,-0.0185903,0.00856961,-0.0271955,0.00716108,-0.0393485,0,inf,0
1106,-0.143733,-2.92997,0.850817,0.172425,0.0239958,0.00517456,-0.0183633,-0.000265221,0.038206,1,3.67363,0
1107,-0.132177,-1.34716,-0.1609,0.341837,0.00928175,-0.00608074,-0.0181929,0.0163444,0.00783026,1,0.100994,1
1108,-0.106847,-0.897787,-0.762359,0.0151765,-0.0117276,-0.00328715,0.0137835,-0.00503168,0.0229416,1,1.24361,0
1109,-0.548234,-2.42204,-0.501377,0.01932,0.00349751,-0.00107611,0.0464963,-0.00263648,-0.0140125,1,13.1588,0
1110,0.0730603,-2.67501,-0.204769,2.10004,0.018046,-0.00021212,0.0170796,0.0200692,0.0253792,1,0.359074,0
1111,0.228563,-2.08756,0.630602,3.37556,0.0152168,-0.00804468,0.027822,-0.00595007,0.0108116,1,0.10099,1
1112,0.832587,-1.69612,-0.0932352,0.616411,0.0228607,0.00738928,-0.00890215,0.0184271,-0.0355643,1,0.10101,1
1113,0.189065,-2.94635,0.166843,1.62425,0.0187433,0.00505578,0.00497278,-0.0172455,0.0299649,1,0.528002,0
1114,-1.13527,-1.22416,-0.432654,2.44202,0.0187623,0.00699625,0.0018073,0.018931,0.0262381,0,inf,0
1115,-0.534745,-1.50514,-0.279913,0.196116,0.00518578,0.00525512,-0.00929916,0.00889197,0.00865259,1,2.46633,0
1116,0.0844408,-2.62312,-0.268155,0.0445183,0.0155878,0.00601497,0.012666,-0.00056921,-0.0015687,1,5.26537,0
1117,0.927825,-0.979507,0.348293,2.4737,-0.016359,-0.00232512,-0.0194076,0.00895129,0.0204127,0,inf,0
1118,-0.901606,-2.09469,-0.532095,0.101044,0.000603575,-0.00379544,0.0486176,-0.00717281,0.0380408,1,6.12512,0
1119,-1.09548,-2.7677,-0.398012,0.871596,-0.00778151,0.00688981,-0.038425,0.011583,0.0106283,1,2.26151,0
1120,0.0190773,-0.527733,0.695658,0.542913,-0.00186824,0.00300905,-0.037978,0.00225208,0.042991,1,0.100995,1
1121,-0.357257,-2.20316,0.352142,0.0187363,-0.018894,-0.0056321,0.0157546,0.0123642,0.0212811,1,10.872,0
1122,-0.308451,-1.03682,0.382536,0.0429276,0.024693,-0.00530185,-0.0498097,0.0174877,-0.0385206,1,0.741207,0
1123,0.1625,-0.472374,-0.38942,0.0153787,0.0158147,-0.00381811,0.00665256,-0.00353339,0.0163159,0,inf,0
1124,-1.34077,-1.21309,-0.271983,0.97743,-0.0214795,-0.00849315,0.0467826,0.0141618,-0.0384897,0,inf,0
1125,0.279421,-0.696138,0.444786,0.108434,0.00683371,-0.0077235,0.0307056,-0.0192612,0.0150759,0,inf,0
1126,0.942136,-1.61029,-0.0809384,0.787068,0.0241146,0.00324449,-0.0193201,-0.0206128,-0.00795087,1,0.100989,1
1127,-1.133,-2.82468,-0.318192,0.0953997,-0.00264732,-0.00325127,0.0134977,-0.000259755,-0.0154938,1,7.94336,0
1128,-1.26801,-0.812861,-0.903004,0.798747,0.00904157,-0.00859455,0.0133085,0.000410486,0.0132001,0,inf,0
1129,-0.118906,-2.6717,-0.421541,0.0119349,0.0177812,-0.00354343,0.0422646,-0.0127132,0.00151935,1,13.6187,0
1130,-0.818054,-1.42342,0.483201,0.0353024,-0.0168724,-0.00853614,-0.0198861,-0.00978016,-0.00877325,1,8.1641,0
1131,-1.32341,-0.740265,0.723214,0.0427712,-0.0212925,0.000471828,-0.0432842,0.0176773,-0.0240901,0,inf,0
1132,-1.09113,-2.71504,0.838479,0.0194955,-0.00305399,0.00172623,0.0155613,0.000698442,0.00275594,1,17.5072,0
1133,-1.1383,-0.765081,0.946087,2.04049,-0.0212433,0.00715392,-0.036352,0.0209544,-0.0478773,0,inf,0
1134,-1.0107,-2.18825,0.726195,0.0194132,-0.00597804,-0.00651435,0.00883798,0.0166604,0.00275001,1,15.5399,0
1135,0.101191,-2.32381,-0.978204,0.698393,-0.00735154,-0.00857211,-0.0338556,0.000426758,-0.000523502,1,0.54593,0
1136,0.805956,-1.77487,0.53156,0.0282833,-0.0123363,0.00248824,-0.00917759,-0.0194557,-0.0429641,1,0.937053,0
1137,0.519068,-2.74005,-0.786877,4.69939,-0.0048497,0.00215001,-0.0233624,-0.0195693,0.0168567,1,0.100994,1
1138,-0.913234,-0.639996,0.776903,3.16202,0.0214581,-0.000929776,0.0247859,0.0173137,0.0317154,0,inf,0
1139,-0.237484,-2.39289,-0.201857,0.0350678,0.0200906,0.00880188,-0.0354732,-0.0126409,0.00499146,1,7.66092,0
1140,-1.4349,-0.699882,-0.316608,6.79303,-0.00210197,0.00272265,-0.0432016,0.0105001,0.0208251,0,inf,0
1141,-0.374167,-1.33851,-0.872875,7.43092,0.0203696,-0.00261953,0.012955,-0.00324343,0.031704,1,0.100944,1
1142,0.169181,-0.943778,0.297063,6.46115,-0.0200584,0.00491903,-0.0408884,-0.0127908,0.0131392,1,0.101022,1
1143,0.964613,-0.49558,0.147184,0.174854,-0.0151518,0.00169796,-3.7806e-05,0.020633,-0.0227316,0,inf,0
1144,-0.760594,-2.4057,-0.821553,5.11808,0.00237909,0.0030157,0.0346958,-0.0183924,-0.0373664,1,0.422933,0
1145,-1.4304,-1.01767,0.981855,0.254938,0.00136316,0.00706408,0.0319061,0.00331866,0.0397568,0,inf,0
1146,0.694178,-1.41647,-0.610671,0.0966405,0.0146034,0.00546118,-0.0364415,0.0103307,0.0465355,1,0.416983,0
1147,0.858639,-2.15275,-0.921791,2.10613,-0.0211874,0.00221599,0.0430752,0.0120654,-0.0169181,1,0.100998,1
1148,-1.17871,-2.69079,0.463877,0.178301,0.0168721,0.00267385,0.0461106,0.0103637,-0.047845,1,5.69815,0
1149,-0.665501,-1.70437,-0.126527,0.0145266,0.0102097,0.00622094,0.0410813,-0.00597262,0.0338731,1,12.7878,0
1150,0.932374,-1.79774,-0.706521,0.0147317,0.0185074,-0.00124162,-0.00348415,-0.00541377,-0.0112861,1,0.101116,1
1151,-1.39895,-2.94774,0.394416,0.817892,-0.00274191,-0.00341616,-0.022591,-0.00543195,-0.0367469,1,2.6686,0
1152,-0.84175,-0.520076,-0.73324,2.47199,-0.00498276,-0.00316972,0.0385993,-0.00559991,0.00163314,0,inf,0
1153,0.469736,-1.68612,-0.287726,3.17928,0.00123127,0.00625327,0.0112103,0.0108573,0.0231553,1,0.100999,1
1154,-1.13337,-2.2217,0.0334796,8.45611,0.0169462,-0.00465623,-0.0162404,-0.0205481,-0.033979,1,0.300366,0
1155,0.823848,-0.867346,0.484927,0.183763,-0.00601452,-0.00768146,0.0181734,-0.0113012,0.0202335,0,inf,0
1156,-1.06393,-0.561438,-0.64249,0.332208,-0.0091649,0.00657724,-0.0467027,0.0153327,0.0376347,0,inf,0
1157,0.865179,-1.66235,-0.661312,0.180435,-0.00173895,-0.00298586,0.011392,-0.00210041,-0.0171778,1,0.100966,1
1158,-0.432664,-2.8177,-0.604083,0.949005,-0.00305348,-0.00420263,0.0146183,-0.00736595,-0.0228647,1,1.54314,0
1159,-0.220254,-1.61827,-0.5713,9.39504,0.0208983,-0.00823037,-0.0289757,0.0107949,0.0340239,1,0.100942,1
1160,-1.45841,-1.2897,-0.738721,0.0432329,-0.0226206,-0.00563439,-0.0461125,-0.0188551,-0.0150724,0,inf,0
1161,-0.920996,-1.1658,0.589055,0.0185193,0.00550085,-0.0052989,0.0105247,0.00902649,-0.0351344,0,inf,0
1162,-0.54947,-1.40972,-0.377731,5.84328,-0.0240433,-0.0067174,0.0144628,-0.0149773,0.0320039,1,0.207986,1
1163,-0.534564,-1.00145,-0.171977,0.183473,-0.0105874,-0.0043204,0.042645,0.000344999,-0.0386759,1,1.44545,0
1164,-0.724562,-2.24216,-0.702882,0.458402,-0.018407,-0.00403301,-0.018079,0.00585237,-0.0418593,1,2.39136,0
1165,0.0562009,-2.47817,-0.994283,0.681246,-0.00795161,0.0030251,0.00525014,-0.012951,-0.011834,1,0.87332,0
1166,0.750129,-2.68103,-0.385309,0.231911,0.012595,0.00101504,0.0109808,-0.0137449,-0.00391877,1,0.100988,1
1167,-0.372401,-2.87408,0.282858,0.0121421,0.0192944,-0.007192,-0.014928,0.00627542,0.0230396,1,17.0358,0
1168,-0.0492716,-1.00954,-0.19386,0.0186448,0.00674226,-0.00842678,-0.00367392,0.00926374,-0.00374654,1,2.57725,0
1169,-0.54731,-1.31559,0.418612,0.472364,0.0193134,0.00560823,0.0297743,-0.0103842,-0.022209,1,1.2771,0
1170,-0.0426263,-1.72123,0.0902863,4.23041,-0.00634356,0.00673537,0.0209449,0.0121399,0.0179195,1,inf,0
1171,-1.42018,-2.64837,-0.839666,0.0917491,0.00338073,0.00767182,0.0202258,0.0112072,-0.046618,1,8.62753,0
1172,0.79784,-2.10786,-0.516032,0.230897,-0.0133738,-0.00412666,0.0350583,0.00458543,-0.0309517,1,0.10078,1
1173,0.440205,-2.96286,0.398847,0.194632,-0.00721064,-0.00269557,0.00189098,-0.0161868,-0.00473791,1,1.43621,0
1174,-1.33446,-2.58107,0.568641,0.0135331,-0.0213007,0.00329305,-0.0298909,0.0081808,-0.00279573,1,inf,0
1175,-0.780414,-0.713791,0.673276,0.230087,-0.00333033,0.000653165,0.0167905,0.0171984,-0.0414098,0,inf,0
1176,-1.28914,-2.64724,-0.750824,7.80711,0.0155954,0.00388139,-0.0109828,0.00557412,0.0344618,1,0.337676,0
1177,-1.11871,-0.758432,0.584321,0.0678962,-0.0225091,-0.0089142,-0.0423906,-0.00836026,0.000826958,0,inf,0
1178,-0.96234,-1.09721,-0.704799,0.579582,-0.0148498,0.00848637,0.0377865,0.0194846,-0.032407,0,inf,0
1179,0.12934,-0.348451,-0.72272,0.255625,0.00551786,0.00759957,-0.00143581,0.0189899,-0.0303338,0,inf,0
1180,0.310021,-2.14454,-0.277023,0.171799,9.57332e-05,0.00141013,-0.0272779,0.0017317,-0.0197349,1,0.10101,1
1181,-0.641717,-1.65776,-0.201694,0.0131083,-0.011667,0.00190305,-0.0413846,0.0168351,0.0457855,1,13.2116,0
1182,-0.752184,-0.367379,0.335753,1.66724,-0.0196649,-0.00295822,-0.0484126,0.0198397,-0.0400732,0,inf,0
1183,-0.751698,-1.57355,-0.444181,0.051184,0.0205964,-0.00817019,0.0152401,-0.00409135,-0.0177465,1,6.86485,0
1184,0.12824,-0.612222,-0.195379,0.0563421,0.0196921,0.000898587,-0.0463201,0.018372,-0.0353943,0,inf,0
1185,-1.15247,-0.915218,0.20263,7.06397,0.0110995,-0.00496197,-0.0375125,-0.0209271,-0.00259504,0,inf,0
1186,-0.553009,-2.39249,-0.361105,0.0291923,0.0135924,-0.00439973,-0.0456727,0.00527004,0.0109497,1,10.4937,0
1187,0.0569336,-2.76593,-0.456658,0.0117049,0.00341246,-0.000263025,0.0265557,-0.0206287,-0.000525043,1,12.0992,0
1188,0.0348503,-2.04312,-0.67824,3.06933,-0.0166003,-0.00557925,-0.0315732,-0.000786444,0.0192623,1,0.598678,0
1189,-0.654664,-0.62824,-0.0210446,1.64774,0.0180971,0.00806404,-0.00597767,0.00899383,-0.00420785,0,inf,0
1190,-1.42586,-2.13394,-0.846558,0.607524,0.0203927,-0.00435049,0.0486081,-0.0155877,-0.0336831,1,2.85794,0
1191,-1.44828,-2.5303,-0.0573734,0.4072,-0.000819244,-0.00165373,0.019319,7.24872e-05,0.00390568,1,3.72732,0
1192,-1.22788,-2.40143,-0.4302,0.290667,-0.000763993,-0.00423841,-0.0433413,-0.0203019,-0.00632416,1,4.21543,0
1193,-1.22111,-2.4614,0.000314031,0.0234986,-0.0106652,0.00409923,0.0164805,0.0049894,0.0275757,1,16.0019,0
1194,0.466675,-0.383383,0.750702,1.74651,-0.00394542,0.00384035,-0.0200276,-0.0135825,-0.0322483,0,inf,0
1195,-1.48051,-2.26654,-0.440721,0.0505283,-0.0191323,0.00200898,-0.0192894,0.0181901,-0.0212212,1,11.353,0
1196,-0.126551,-1.26152,0.679684,7.29357,-0.000276552,0.00432768,0.0258425,0.00653769,-0.0022816,1,0.10104,1
1197,0.81739,-2.10979,-0.769138,0.0427395,0.00199017,-0.00286144,-0.0241405,-0.0130396,-0.0437479,1,1.66737,0
1198,-0.547869,-2.07468,0.388568,6.00239,-0.022026,-0.00688217,-0.0140063,0.00879731,0.00513025,1,0.181283,1
1199,-0.30144,-1.72633,-0.15851,5.94934,0.00280764,0.0088945,-0.048963,0.00484142,0.0474985,1,0.771554,0
1200,0.279511,-2.7997,-0.955752,1.95816,-0.0126183,-0.000404017,-0.0326405,0.00268575,0.0236367,1,0.245814,1
1201,-0.213454,-1.65667,0.396154,0.0184003,0.00046893,-0.000462849,-0.0109702,-0.0079159,-0.0320607,1,5.7189,0
1202,-1.00481,-2.04831,0.552724,2.0576,0.023875,-0.00394226,-0.0200432,-0.000815475,0.0338152,1,0.952717,0
1203,-0.803337,-2.30205,0.132984,0.0375673,-0.0210129,0.00568359,0.0179996,-0.00793478,0.0388822,1,10.3755,0
1204,-0.607333,-1.02916,0.722748,0.344643,0.0245381,0.00827554,0.0213377,-0.00991358,-0.0367334,1,inf,0
1205,0.340384,-2.86149,0.746563,8.99324,0.00790631,-0.00436687,0.0105645,-0.00222382,-0.0318601,1,0.437747,0
1206,0.848634,-2.15966,0.784855,0.0145467,-0.00870682,-0.00763941,-0.0475501,0.0197758,-0.0388928,1,3.92445,0
1207,0.103655,-1.56321,-0.949525,0.0650327,0.0222172,-0.00322144,-0.0258992,-0.00480922,-0.0171069,1,0.697972,0
1208,-1.18336,-2.03179,-0.225313,0.0291888,0.017723,0.0058854,0.00744009,0.0122432,0.0301715,1,13.0474,0
1209,0.445562,-1.08682,0.209404,0.395802,0.0186883,-0.00895678,0.0374801,-0.0198137,0.0451586,1,0.101031,1
1210,0.16834,-2.95562,0.744007,0.700359,-0.0213428,0.00296548,-0.00886355,0.0134773,-0.0215872,1,1.13868,0
1211,0.995774,-1.57469,-0.71826,2.09998,0.0207092,-0.00719327,0.0105108,-0.0141766,-0.0165798,1,0.100992,1
1212,0.550585,-1.91046,-0.652693,0.0607051,-0.0171869,0.00238213,-0.00853663,0.0161188,0.0158669,1,1.42242,0
1213,0.286216,-0.988728,0.195379,0.442922,0.00490739,0.00119588,-0.0277433,-0.00633922,0.016605,1,0.100782,1
1214,0.491769,-2.70452,0.784429,0.049508,0.0212918,0.00834218,0.0466875,-0.0047103,0.0495534,1,inf,0
1215,0.81491,-2.83696,0.207806,0.0485763,0.00345407,-0.0075251,-0.00792115,-0.0127416,0.0040037,1,0.397995,0
1216,0.699146,-2.82632,0.921956,0.0240641,-0.0212064,0.0047534,0.0457922,0.015236,-0.00398455,1,2.0363,0
1217,0.805485,-2.72571,-0.253923,7.12549,0.00826518,-0.00707793,0.017983,-0.00949399,0.0221786,1,0.100939,1
1218,0.332396,-1.83804,0.351555,2.84282,0.0246586,0.000726778,0.000949725,-0.00825678,-0.0366059,1,0.100985,1
1219,-0.131661,-1.86452,0.796368,4.42849,0.00805636,0.00367759,0.0368974,0.0105255,0.0152535,1,0.100947,1
1220,0.571948,-1.55734,-0.416627,4.91821,0.00987325,-0.0044267,0.0335375,0.00176018,0.0177991,1,0.100767,1
1221,-0.888581,-1.23372,0.819686,1.40543,0.0141586,-0.00408118,0.0357404,-0.00659782,-0.0322069,1,0.892157,0
1222,-1.09745,-2.00376,-0.319341,3.06988,0.0204496,-0.000897975,0.0249836,0.00344541,-0.0438267,1,0.780963,0
1223,0.15938,-0.376545,-0.622671,0.046764,-0.00822351,-6.63008e-06,0.0465589,-0.0156401,0.0104415,0,inf,0
1224,0.884592,-1.89574,-0.975037,0.0930177,-0.00956116,-0.00672034,0.0458516,-0.00862622,-0.0446598,1,0.492137,0
1225,-0.0938818,-0.81795,0.0118277,0.19007,-0.0184861,-0.00658696,-0.0166602,0.00107389,-0.0400812,1,0.100767,1
1226,-0.407898,-2.48354,0.83193,0.15163,-0.00127537,-0.00559506,-0.0100494,0.0175695,0.0370561,1,4.14925,0
1227,-1.33181,-2.52024,0.0703975,7.78348,-0.0230427,0.00841452,-0.00328437,-0.00489074,-0.0219356,1,0.333528,0
1228,-0.995971,-2.99801,0.30143,0.0277574,-0.0185177,-0.0054638,0.0494474,-0.0201581,0.00966323,1,14.7856,0
1229,-0.620261,-1.25334,0.262965,0.451568,-0.0100956,-0.00492604,-0.0142247,-0.0184186,0.0416465,1,1.36648,0
1230,-0.91763,-0.385086,-0.0925937,0.033709,-0.00826545,-0.00272158,-0.00306658,-0.00226912,-0.0116683,0,inf,0
1231,-1.39267,-2.81822,0.334986,0.27929,-0.00575419,-0.00159799,-0.0356248,0.0108343,0.0379242,1,4.85997,0
