sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
115,0.944755,-2.00035,0.848543,0.0136469,-0.0123386,-0.0082791,-0.0245142,-0.000496272,-0.0263978,1,3.82111,0
116,-0.235493,-2.7222,-0.530754,0.0103797,0.0131553,0.00827346,-0.0312808,0.00898005,-0.0248418,1,16.3024,0
117,0.924184,-1.13639,-0.497798,0.191256,0.0194252,-0.00249928,-0.00272031,0.00469449,-0.0210528,0,inf,0
118,-1.21543,-2.72241,-0.778141,5.88006,0.010532,0.00424562,0.0315105,-0.0164766,0.0458382,1,0.452512,0
119,0.300846,-0.730486,0.931339,0.0683216,0.013739,0.0012335,0.0325934,-0.00495506,-0.00335742,0,inf,0
120,0.781307,-1.27114,0.141154,0.281011,0.0239836,-0.00367232,-0.0250108,0.00864449,0.0312106,0,inf,0
121,0.621232,-1.0709,0.301942,0.264602,-0.0118467,0.0061216,0.0478249,-0.0136363,-0.0383876,0,inf,0
122,-0.913583,-0.710433,-0.026985,1.35371,-0.0025675,-0.00523219,-0.0115077,-0.014909,0.031765,0,inf,0
123,-0.566864,-0.795314,-0.640824,1.32377,-0.00270033,-0.00315302,0.0474432,0.0118971,-0.0430892,0,inf,0
124,0.417079,-0.680803,0.724108,7.82403,0.0201365,0.00869671,-0.041519,0.0174529,-0.0482011,0,inf,0
125,-0.651116,-2.90687,0.125012,7.23467,-0.0245304,0.00326579,0.0369448,0.00119154,0.0196552,1,0.305898,0
126,0.23509,-2.63197,0.616639,0.0379724,-0.0182558,0.00610327,-0.00594526,0.00765109,0.0262456,1,5.97723,0
127,-0.731652,-1.54531,0.266034,0.169574,0.0153398,0.0055395,-0.00564752,-0.0097675,-0.0271085,1,3.48269,0
128,0.818142,-1.83187,0.988054,0.0539168,0.0150013,0.00195754,-0.0477967,-0.0196524,0.0425987,1,0.543005,0
129,0.866538,-0.807092,0.512334,0.398618,0.00700206,-0.00558881,0.0492508,-0.00368,0.0437872,0,inf,0
130,-1.12483,-1.4192,-0.251298,8.10111,-0.0121219,-0.00564524,0.0123241,-0.0122533,-0.0447413,1,0.146964,1
131,-0.351394,-1.83574,0.665563,0.114254,0.0076643,-0.00518908,0.0208905,-0.0168231,0.00328954,1,3.34719,0
132,0.387096,-0.942821,0.797237,0.0132881,-0.0012164,-0.00890159,-0.037328,-0.00930335,0.0330851,1,4.046,0
133,0.670286,-1.93762,0.952704,0.165678,0.0219188,0.000677772,-0.0168177,-0.000899588,0.0454451,1,0.100765,1
134,-0.216302,-2.57335,-0.507376,1.71124,-0.0193414,0.00232434,0.0387786,-0.0103044,0.0491361,1,0.752054,0
135,-0.244695,-2.77225,0.142852,0.182883,0.0055071,0.00305908,0.0375825,0.00590838,-0.0243404,1,3.65186,0
136,-0.486549,-1.49687,-0.912185,7.49449,0.00260031,0.000172936,0.0121336,-0.00540218,-0.0452391,1,0.100978,1
137,0.11334,-2.30151,-0.864713,0.0636081,-0.0140095,-0.00393535,0.00675645,0.00409596,-0.0115788,1,2.83387,0
138,0.831088,-0.772833,-0.202382,0.652189,-0.0141855,0.00557029,0.0270408,0.0105843,-0.00959587,0,inf,0
139,-0.275568,-0.804286,-0.667999,8.49701,0.021139,-0.0055773,-0.011411,-0.00700887,0.00749861,1,0.100989,1
140,-1.24826,-1.40314,0.796783,0.664742,-0.00841174,0.0071084,0.0252221,-0.0201327,0.000596053,0,inf,0
141,0.621205,-1.0905,-0.843883,0.0556317,-0.00781993,0.000411559,0.0148512,-0.0159454,-0.0229308,0,inf,0
142,0.51866,-1.01731,-0.216749,0.0313659,0.0240379,0.00140892,-0.0417033,-0.00181578,0.0478854,0,inf,0
143,-1.22927,-0.826225,0.194804,0.339882,-0.0176902,0.0059613,-0.0304713,0.0147122,-0.000782671,0,inf,0
