alpha1,alpha2,alpha3,delta1,kappa,B0,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s
-1.5246641089957245,-2.2693476343683114,4.023000711013466,-0.25086421013437465,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=1: amplitude ratio 2.57e+19 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=1: amplitude ratio 2.57e+19 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
1.1928267406611366,-0.7806720700059602,2.6371596161605644,0.9588676484009049,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.551721013011714e-08,47.5,2.1305961327133607e-08,1.37
0.1245727058152708,-0.4717058077108467,4.466620405100381,-0.9996469902342069,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.95737858492002e-06,50.0,3.95737858492002e-06,0.99
-1.9826208095889286,-1.3256362432795488,1.4389796713412975,0.13675599235688574,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=1: amplitude ratio 1.49e+17 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=1: amplitude ratio 1.49e+17 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
0.04405395668175549,-0.4081699580233389,2.403121479164612,0.21066557814719888,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,8.960285959009824e-06,43.0,4.448914364526899e-06,1.11
-1.962510228388439,-0.569943822167783,1.5683613883096357,-0.8282934040298847,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=3: amplitude ratio 2.66e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=3: amplitude ratio 2.66e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
1.4455223428247002,-2.6720779831719197,0.857514039084129,0.9801757854008637,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,6.04744472002e-11,50.0,6.04744472002e-11,1.05
-1.433822644835728,-0.7488310859610112,1.688347639314903,0.42921807320381644,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=5: amplitude ratio 1.47e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=5: amplitude ratio 1.47e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
-0.5770632035718319,-1.6951394840635068,1.493922584880519,0.3066675928124929,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=5: amplitude ratio 2.29e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=5: amplitude ratio 2.29e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
0.3558657126473257,-1.5523025685812804,0.7097210466641242,-0.6320653702660659,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.43626133939108e-09,43.0,1.117073464516171e-09,1.04
