delta1,kappa,B0,alpha1,alpha2,alpha3,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,P_asymptotic,P_transmitted,P_reflected,wall_time_s,run_status,error_message,solver_exit_code,stability_profile,borderline_stability
-0.175,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.014272950266663989,20.0,0.014272950266663989,0.014272950266663989,0.014272950266663989,5.331251616755342e-34,2.61,success,,0,v1-unit-0.3,False
-0.14999999999999997,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.014610250025723208,20.0,0.014610250025723208,0.014610250025723208,0.014610250025723208,3.281228658924997e-34,1.91,success,,0,v1-unit-0.3,False
-0.125,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.014896794992539528,20.0,0.014896794992539528,0.014896794992539528,0.014896794992539528,6.0248058060840204e-34,4.26,success,,0,v1-unit-0.3,False
-0.09999999999999998,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015131982904562892,20.0,0.015131982904562892,0.015131982904562892,0.015131982904562892,5.017897408748519e-34,2.65,success,,0,v1-unit-0.3,False
-0.07499999999999996,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015315351672063666,20.0,0.015315351672063666,0.015315351672063666,0.015315351672063666,7.229950456408863e-34,2.48,success,,0,v1-unit-0.3,False
-0.04999999999999999,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015446560702796602,20.0,0.015446560702796602,0.015446560702796602,0.015446560702796602,1.001325771171367e-33,2.1,success,,0,v1-unit-0.3,False
-0.024999999999999967,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015525376680792246,20.0,0.015525376680792246,0.015525376680792246,0.015525376680792246,2.2669328913625064e-33,2.91,success,,0,v1-unit-0.3,False
0.0,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015551663570001576,20.0,0.015551663570001576,0.015551663570001576,0.015551663570001576,5.156809660269985e-33,2.46,success,,0,v1-unit-0.3,False
0.025000000000000022,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015525376680792246,20.0,0.015525376680792246,0.015525376680792246,0.015525376680792246,2.2669328913625064e-33,2.38,success,,0,v1-unit-0.3,False
0.050000000000000044,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015446560702796595,20.0,0.015446560702796595,0.015446560702796595,0.015446560702796595,9.76182767378092e-34,5.13,success,,0,v1-unit-0.3,False
0.07500000000000007,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015315351672063666,20.0,0.015315351672063666,0.015315351672063666,0.015315351672063666,7.229950456408863e-34,3.11,success,,0,v1-unit-0.3,False
0.10000000000000009,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.015131982904562892,20.0,0.015131982904562892,0.015131982904562892,0.015131982904562892,5.017897408748519e-34,3.73,success,,0,v1-unit-0.3,False
0.125,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.014896794992539528,20.0,0.014896794992539528,0.014896794992539528,0.014896794992539528,6.0248058060840204e-34,2.97,success,,0,v1-unit-0.3,False
0.15000000000000002,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.014610250025723208,20.0,0.014610250025723208,0.014610250025723208,0.014610250025723208,3.281228658924997e-34,3.27,success,,0,v1-unit-0.3,False
0.17500000000000004,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.014272950266663989,20.0,0.014272950266663989,0.014272950266663989,0.014272950266663989,5.331251616755342e-34,2.57,success,,0,v1-unit-0.3,False
0.20000000000000007,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.013885661579234132,20.0,0.013885661579234132,0.013885661579234132,0.013885661579234132,3.2363318041268286e-34,3.23,success,,0,v1-unit-0.3,False
0.2250000000000001,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.013449341982340298,20.0,0.013449341982340298,0.013449341982340298,0.013449341982340298,2.718464180691342e-34,2.02,success,,0,v1-unit-0.3,False
